"TIME","GEO","SEX","AGE","CITIZEN","UNIT","Value","Flag and Footnotes"
"2015Q1","Greece","Males","From 15 to 64 years","Total","Percentage","57.6",""
"2015Q1","Greece","Females","From 15 to 64 years","Total","Percentage","41.0",""
"2015Q1","Spain","Total","From 15 to 64 years","Total","Percentage","56.4",""
"2015Q1","Spain","Males","From 15 to 64 years","Total","Percentage","61.2",""
"2015Q1","Spain","Females","From 15 to 64 years","Total","Percentage","51.5",""
"2015Q1","France","Total","From 15 to 64 years","Total","Percentage","63.3",""
"2015Q1","France","Males","From 15 to 64 years","Total","Percentage","66.5",""
"2015Q1","France","Females","From 15 to 64 years","Total","Percentage","60.1",""
"2015Q1","Croatia","Total","From 15 to 64 years","Total","Percentage","54.4",""
"2015Q1","Croatia","Males","From 15 to 64 years","Total","Percentage","58.5",""
"2015Q1","Croatia","Females","From 15 to 64 years","Total","Percentage","50.3",""
"2015Q1","Italy","Total","From 15 to 64 years","Total","Percentage","55.5",""
"2015Q1","Italy","Males","From 15 to 64 years","Total","Percentage","64.2",""
"2015Q1","Italy","Females","From 15 to 64 years","Total","Percentage","46.8",""
"2015Q1","Cyprus","Total","From 15 to 64 years","Total","Percentage","61.9",""
"2015Q1","Cyprus","Males","From 15 to 64 years","Total","Percentage","65.2",""
"2015Q1","Cyprus","Females","From 15 to 64 years","Total","Percentage","58.7",""
"2015Q1","Latvia","Total","From 15 to 64 years","Total","Percentage","66.9",""
"2015Q1","Latvia","Males","From 15 to 64 years","Total","Percentage","69.1",""
"2015Q1","Latvia","Females","From 15 to 64 years","Total","Percentage","64.8",""
"2015Q1","Lithuania","Total","From 15 to 64 years","Total","Percentage","66.0",""
"2015Q1","Lithuania","Males","From 15 to 64 years","Total","Percentage","66.9",""
"2015Q1","Lithuania","Females","From 15 to 64 years","Total","Percentage","65.1",""
"2015Q1","Luxembourg","Total","From 15 to 64 years","Total","Percentage","66.2","b"
"2015Q1","Luxembourg","Males","From 15 to 64 years","Total","Percentage","71.3","b"
"2015Q1","Luxembourg","Females","From 15 to 64 years","Total","Percentage","60.9","b"
"2015Q1","Hungary","Total","From 15 to 64 years","Total","Percentage","62.4",""
"2015Q1","Hungary","Males","From 15 to 64 years","Total","Percentage","68.3",""
"2015Q1","Hungary","Females","From 15 to 64 years","Total","Percentage","56.7",""
"2015Q1","Malta","Total","From 15 to 64 years","Total","Percentage","62.5",""
"2015Q1","Malta","Males","From 15 to 64 years","Total","Percentage","75.6",""
"2015Q1","Malta","Females","From 15 to 64 years","Total","Percentage","48.9",""
"2015Q1","Netherlands","Total","From 15 to 64 years","Total","Percentage","73.6",""
"2015Q1","Netherlands","Males","From 15 to 64 years","Total","Percentage","78.5",""
"2015Q1","Netherlands","Females","From 15 to 64 years","Total","Percentage","68.6",""
"2015Q1","Austria","Total","From 15 to 64 years","Total","Percentage","70.2",""
"2015Q1","Austria","Males","From 15 to 64 years","Total","Percentage","74.0",""
"2015Q1","Austria","Females","From 15 to 64 years","Total","Percentage","66.5",""
"2015Q1","Poland","Total","From 15 to 64 years","Total","Percentage","61.9",""
"2015Q1","Poland","Males","From 15 to 64 years","Total","Percentage","68.1",""
"2015Q1","Poland","Females","From 15 to 64 years","Total","Percentage","55.8",""
"2015Q1","Portugal","Total","From 15 to 64 years","Total","Percentage","62.8",""
"2015Q1","Portugal","Males","From 15 to 64 years","Total","Percentage","65.8",""
"2015Q1","Portugal","Females","From 15 to 64 years","Total","Percentage","59.9",""
"2015Q1","Romania","Total","From 15 to 64 years","Total","Percentage","59.1",""
"2015Q1","Romania","Males","From 15 to 64 years","Total","Percentage","66.8",""
"2015Q1","Romania","Females","From 15 to 64 years","Total","Percentage","51.4",""
"2015Q1","Slovenia","Total","From 15 to 64 years","Total","Percentage","63.5",""
"2015Q1","Slovenia","Males","From 15 to 64 years","Total","Percentage","67.6",""
"2015Q1","Slovenia","Females","From 15 to 64 years","Total","Percentage","59.3",""
"2015Q1","Slovakia","Total","From 15 to 64 years","Total","Percentage","61.9",""
"2015Q1","Slovakia","Males","From 15 to 64 years","Total","Percentage","68.4",""
"2015Q1","Slovakia","Females","From 15 to 64 years","Total","Percentage","55.3",""
"2015Q1","Finland","Total","From 15 to 64 years","Total","Percentage","67.2",""
"2015Q1","Finland","Males","From 15 to 64 years","Total","Percentage","67.7",""
"2015Q1","Finland","Females","From 15 to 64 years","Total","Percentage","66.6",""
"2015Q1","Sweden","Total","From 15 to 64 years","Total","Percentage","74.0",""
"2015Q1","Sweden","Males","From 15 to 64 years","Total","Percentage","75.6",""
"2015Q1","Sweden","Females","From 15 to 64 years","Total","Percentage","72.4",""
"2015Q1","United Kingdom","Total","From 15 to 64 years","Total","Percentage","72.4",""
"2015Q1","United Kingdom","Males","From 15 to 64 years","Total","Percentage","77.1",""
"2015Q1","United Kingdom","Females","From 15 to 64 years","Total","Percentage","67.7",""
"2015Q1","Iceland","Total","From 15 to 64 years","Total","Percentage","82.9",""
"2015Q1","Iceland","Males","From 15 to 64 years","Total","Percentage","85.1",""
"2015Q1","Iceland","Females","From 15 to 64 years","Total","Percentage","80.7",""
"2015Q1","Norway","Total","From 15 to 64 years","Total","Percentage","74.4",""
"2015Q1","Norway","Males","From 15 to 64 years","Total","Percentage","76.3",""
"2015Q1","Norway","Females","From 15 to 64 years","Total","Percentage","72.4",""
"2015Q1","Switzerland","Total","From 15 to 64 years","Total","Percentage","79.2",""
"2015Q1","Switzerland","Males","From 15 to 64 years","Total","Percentage","83.3",""
"2015Q1","Switzerland","Females","From 15 to 64 years","Total","Percentage","74.9",""
"2015Q1","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 64 years","Total","Percentage","47.2",""
"2015Q1","Former Yugoslav Republic of Macedonia, the","Males","From 15 to 64 years","Total","Percentage","55.4",""
"2015Q1","Former Yugoslav Republic of Macedonia, the","Females","From 15 to 64 years","Total","Percentage","38.8",""
"2015Q1","Turkey","Total","From 15 to 64 years","Total","Percentage","48.4",""
"2015Q1","Turkey","Males","From 15 to 64 years","Total","Percentage","67.8",""
"2015Q1","Turkey","Females","From 15 to 64 years","Total","Percentage","28.9",""
"2015Q2","European Union (28 countries)","Total","From 15 to 64 years","Total","Percentage","65.5",""
"2015Q2","European Union (28 countries)","Males","From 15 to 64 years","Total","Percentage","70.6",""
"2015Q2","European Union (28 countries)","Females","From 15 to 64 years","Total","Percentage","60.4",""
"2015Q2","European Union (27 countries)","Total","From 15 to 64 years","Total","Percentage","65.6",""
"2015Q2","European Union (27 countries)","Males","From 15 to 64 years","Total","Percentage","70.7",""
"2015Q2","European Union (27 countries)","Females","From 15 to 64 years","Total","Percentage","60.5",""
"2015Q2","European Union (15 countries)","Total","From 15 to 64 years","Total","Percentage","66.0",""
"2015Q2","European Union (15 countries)","Males","From 15 to 64 years","Total","Percentage","70.9",""
"2015Q2","European Union (15 countries)","Females","From 15 to 64 years","Total","Percentage","61.2",""
"2015Q2","Euro area (19 countries)","Total","From 15 to 64 years","Total","Percentage","64.4",""
"2015Q2","Euro area (19 countries)","Males","From 15 to 64 years","Total","Percentage","69.4",""
"2015Q2","Euro area (19 countries)","Females","From 15 to 64 years","Total","Percentage","59.5",""
"2015Q2","Euro area (18 countries)","Total","From 15 to 64 years","Total","Percentage","64.4",""
"2015Q2","Euro area (18 countries)","Males","From 15 to 64 years","Total","Percentage","69.4",""
"2015Q2","Euro area (18 countries)","Females","From 15 to 64 years","Total","Percentage","59.4",""
"2015Q2","Euro area (17 countries)","Total","From 15 to 64 years","Total","Percentage","64.4",""
"2015Q2","Euro area (17 countries)","Males","From 15 to 64 years","Total","Percentage","69.4",""
"2015Q2","Euro area (17 countries)","Females","From 15 to 64 years","Total","Percentage","59.3",""
"2015Q2","Belgium","Total","From 15 to 64 years","Total","Percentage","61.4",""
"2015Q2","Belgium","Males","From 15 to 64 years","Total","Percentage","65.1",""
"2015Q2","Belgium","Females","From 15 to 64 years","Total","Percentage","57.6",""
"2015Q2","Bulgaria","Total","From 15 to 64 years","Total","Percentage","62.4",""
"2015Q2","Bulgaria","Males","From 15 to 64 years","Total","Percentage","65.4",""
"2015Q2","Bulgaria","Females","From 15 to 64 years","Total","Percentage","59.5",""
"2015Q2","Czech Republic","Total","From 15 to 64 years","Total","Percentage","70.2",""
"2015Q2","Czech Republic","Males","From 15 to 64 years","Total","Percentage","77.8",""
"2015Q2","Czech Republic","Females","From 15 to 64 years","Total","Percentage","62.3",""
"2015Q2","Denmark","Total","From 15 to 64 years","Total","Percentage","73.5",""
"2015Q2","Denmark","Males","From 15 to 64 years","Total","Percentage","76.6",""
"2015Q2","Denmark","Females","From 15 to 64 years","Total","Percentage","70.3",""
"2015Q2","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","73.6",""
"2015Q2","Germany (until 1990 former territory of the FRG)","Males","From 15 to 64 years","Total","Percentage","77.3",""
"2015Q2","Germany (until 1990 former territory of the FRG)","Females","From 15 to 64 years","Total","Percentage","69.9",""
"2015Q2","Estonia","Total","From 15 to 64 years","Total","Percentage","71.7",""
"2015Q2","Estonia","Males","From 15 to 64 years","Total","Percentage","75.3",""
"2015Q2","Estonia","Females","From 15 to 64 years","Total","Percentage","68.1",""
"2015Q2","Ireland","Total","From 15 to 64 years","Total","Percentage","63.1",""
"2015Q2","Ireland","Males","From 15 to 64 years","Total","Percentage","68.7",""
"2015Q2","Ireland","Females","From 15 to 64 years","Total","Percentage","57.6",""
"2015Q2","Greece","Total","From 15 to 64 years","Total","Percentage","51.0",""
"2015Q2","Greece","Males","From 15 to 64 years","Total","Percentage","59.3",""
"2015Q2","Greece","Females","From 15 to 64 years","Total","Percentage","42.8",""
"2015Q2","Spain","Total","From 15 to 64 years","Total","Percentage","57.8",""
"2015Q2","Spain","Males","From 15 to 64 years","Total","Percentage","62.9",""
"2015Q2","Spain","Females","From 15 to 64 years","Total","Percentage","52.7",""
"2015Q2","France","Total","From 15 to 64 years","Total","Percentage","63.9",""
"2015Q2","France","Males","From 15 to 64 years","Total","Percentage","67.2",""
"2015Q2","France","Females","From 15 to 64 years","Total","Percentage","60.8",""
"2015Q2","Croatia","Total","From 15 to 64 years","Total","Percentage","56.2",""
"2015Q2","Croatia","Males","From 15 to 64 years","Total","Percentage","60.0",""
"2015Q2","Croatia","Females","From 15 to 64 years","Total","Percentage","52.4",""
"2015Q2","Italy","Total","From 15 to 64 years","Total","Percentage","56.3",""
"2015Q2","Italy","Males","From 15 to 64 years","Total","Percentage","65.3",""
"2015Q2","Italy","Females","From 15 to 64 years","Total","Percentage","47.4",""
"2015Q2","Cyprus","Total","From 15 to 64 years","Total","Percentage","63.2",""
"2015Q2","Cyprus","Males","From 15 to 64 years","Total","Percentage","66.8",""
"2015Q2","Cyprus","Females","From 15 to 64 years","Total","Percentage","59.9",""
"2015Q2","Latvia","Total","From 15 to 64 years","Total","Percentage","68.2",""
"2015Q2","Latvia","Males","From 15 to 64 years","Total","Percentage","69.8",""
"2015Q2","Latvia","Females","From 15 to 64 years","Total","Percentage","66.6",""
"2015Q2","Lithuania","Total","From 15 to 64 years","Total","Percentage","67.0",""
"2015Q2","Lithuania","Males","From 15 to 64 years","Total","Percentage","67.4",""
"2015Q2","Lithuania","Females","From 15 to 64 years","Total","Percentage","66.5",""
"2015Q2","Luxembourg","Total","From 15 to 64 years","Total","Percentage","67.1",""
"2015Q2","Luxembourg","Males","From 15 to 64 years","Total","Percentage","72.2",""
"2015Q2","Luxembourg","Females","From 15 to 64 years","Total","Percentage","61.8",""
"2015Q2","Hungary","Total","From 15 to 64 years","Total","Percentage","63.8",""
"2015Q2","Hungary","Males","From 15 to 64 years","Total","Percentage","70.1",""
"2015Q2","Hungary","Females","From 15 to 64 years","Total","Percentage","57.6",""
"2015Q2","Malta","Total","From 15 to 64 years","Total","Percentage","63.9",""
"2015Q2","Malta","Males","From 15 to 64 years","Total","Percentage","75.7",""
"2015Q2","Malta","Females","From 15 to 64 years","Total","Percentage","51.5",""
"2015Q2","Netherlands","Total","From 15 to 64 years","Total","Percentage","74.2",""
"2015Q2","Netherlands","Males","From 15 to 64 years","Total","Percentage","78.9",""
"2015Q2","Netherlands","Females","From 15 to 64 years","Total","Percentage","69.3",""
"2015Q2","Austria","Total","From 15 to 64 years","Total","Percentage","70.8",""
"2015Q2","Austria","Males","From 15 to 64 years","Total","Percentage","75.0",""
"2015Q2","Austria","Females","From 15 to 64 years","Total","Percentage","66.7",""
"2015Q2","Poland","Total","From 15 to 64 years","Total","Percentage","62.6",""
"2015Q2","Poland","Males","From 15 to 64 years","Total","Percentage","68.7",""
"2015Q2","Poland","Females","From 15 to 64 years","Total","Percentage","56.4",""
"2015Q2","Portugal","Total","From 15 to 64 years","Total","Percentage","64.2",""
"2015Q2","Portugal","Males","From 15 to 64 years","Total","Percentage","66.8",""
"2015Q2","Portugal","Females","From 15 to 64 years","Total","Percentage","61.8",""
"2015Q2","Romania","Total","From 15 to 64 years","Total","Percentage","62.0",""
"2015Q2","Romania","Males","From 15 to 64 years","Total","Percentage","70.0",""
"2015Q2","Romania","Females","From 15 to 64 years","Total","Percentage","53.9",""
"2015Q2","Slovenia","Total","From 15 to 64 years","Total","Percentage","65.5",""
"2015Q2","Slovenia","Males","From 15 to 64 years","Total","Percentage","69.3",""
"2015Q2","Slovenia","Females","From 15 to 64 years","Total","Percentage","61.5",""
"2015Q2","Slovakia","Total","From 15 to 64 years","Total","Percentage","62.5",""
"2015Q2","Slovakia","Males","From 15 to 64 years","Total","Percentage","69.4",""
"2015Q2","Slovakia","Females","From 15 to 64 years","Total","Percentage","55.6",""
"2015Q2","Finland","Total","From 15 to 64 years","Total","Percentage","69.3",""
"2015Q2","Finland","Males","From 15 to 64 years","Total","Percentage","70.1",""
"2015Q2","Finland","Females","From 15 to 64 years","Total","Percentage","68.5",""
"2015Q2","Sweden","Total","From 15 to 64 years","Total","Percentage","75.6",""
"2015Q2","Sweden","Males","From 15 to 64 years","Total","Percentage","77.1",""
"2015Q2","Sweden","Females","From 15 to 64 years","Total","Percentage","74.0",""
"2015Q2","United Kingdom","Total","From 15 to 64 years","Total","Percentage","72.3",""
"2015Q2","United Kingdom","Males","From 15 to 64 years","Total","Percentage","77.0",""
"2015Q2","United Kingdom","Females","From 15 to 64 years","Total","Percentage","67.7",""
"2015Q2","Iceland","Total","From 15 to 64 years","Total","Percentage","85.6",""
"2015Q2","Iceland","Males","From 15 to 64 years","Total","Percentage","88.4",""
"2015Q2","Iceland","Females","From 15 to 64 years","Total","Percentage","82.8",""
"2015Q2","Norway","Total","From 15 to 64 years","Total","Percentage","75.2",""
"2015Q2","Norway","Males","From 15 to 64 years","Total","Percentage","76.8",""
"2015Q2","Norway","Females","From 15 to 64 years","Total","Percentage","73.5",""
"2015Q2","Switzerland","Total","From 15 to 64 years","Total","Percentage","79.1",""
"2015Q2","Switzerland","Males","From 15 to 64 years","Total","Percentage","83.6",""
"2015Q2","Switzerland","Females","From 15 to 64 years","Total","Percentage","74.6",""
"2015Q2","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 64 years","Total","Percentage","47.7",""
"2015Q2","Former Yugoslav Republic of Macedonia, the","Males","From 15 to 64 years","Total","Percentage","55.8",""
"2015Q2","Former Yugoslav Republic of Macedonia, the","Females","From 15 to 64 years","Total","Percentage","39.3",""
"2015Q2","Turkey","Total","From 15 to 64 years","Total","Percentage","51.1",""
"2015Q2","Turkey","Males","From 15 to 64 years","Total","Percentage","70.7",""
"2015Q2","Turkey","Females","From 15 to 64 years","Total","Percentage","31.5",""
"2015Q3","European Union (28 countries)","Total","From 15 to 64 years","Total","Percentage","66.1",""
"2015Q3","European Union (28 countries)","Males","From 15 to 64 years","Total","Percentage","71.6",""
"2015Q3","European Union (28 countries)","Females","From 15 to 64 years","Total","Percentage","60.7",""
"2015Q3","European Union (27 countries)","Total","From 15 to 64 years","Total","Percentage","66.2",""
"2015Q3","European Union (27 countries)","Males","From 15 to 64 years","Total","Percentage","71.6",""
"2015Q3","European Union (27 countries)","Females","From 15 to 64 years","Total","Percentage","60.8",""
"2015Q3","European Union (15 countries)","Total","From 15 to 64 years","Total","Percentage","66.5",""
"2015Q3","European Union (15 countries)","Males","From 15 to 64 years","Total","Percentage","71.7",""
"2015Q3","European Union (15 countries)","Females","From 15 to 64 years","Total","Percentage","61.4",""
"2015Q3","Euro area (19 countries)","Total","From 15 to 64 years","Total","Percentage","64.9",""
"2015Q3","Euro area (19 countries)","Males","From 15 to 64 years","Total","Percentage","70.3",""
"2015Q3","Euro area (19 countries)","Females","From 15 to 64 years","Total","Percentage","59.6",""
"2015Q3","Euro area (18 countries)","Total","From 15 to 64 years","Total","Percentage","64.9",""
"2015Q3","Euro area (18 countries)","Males","From 15 to 64 years","Total","Percentage","70.3",""
"2015Q3","Euro area (18 countries)","Females","From 15 to 64 years","Total","Percentage","59.5",""
"2015Q3","Euro area (17 countries)","Total","From 15 to 64 years","Total","Percentage","64.9",""
"2015Q3","Euro area (17 countries)","Males","From 15 to 64 years","Total","Percentage","70.3",""
"2015Q3","Euro area (17 countries)","Females","From 15 to 64 years","Total","Percentage","59.5",""
"2015Q3","Belgium","Total","From 15 to 64 years","Total","Percentage","62.1",""
"2015Q3","Belgium","Males","From 15 to 64 years","Total","Percentage","66.0",""
"2015Q3","Belgium","Females","From 15 to 64 years","Total","Percentage","58.1",""
"2015Q3","Bulgaria","Total","From 15 to 64 years","Total","Percentage","64.5",""
"2015Q3","Bulgaria","Males","From 15 to 64 years","Total","Percentage","67.6",""
"2015Q3","Bulgaria","Females","From 15 to 64 years","Total","Percentage","61.4",""
"2015Q3","Czech Republic","Total","From 15 to 64 years","Total","Percentage","70.5",""
"2015Q3","Czech Republic","Males","From 15 to 64 years","Total","Percentage","78.2",""
"2015Q3","Czech Republic","Females","From 15 to 64 years","Total","Percentage","62.6",""
"2015Q3","Denmark","Total","From 15 to 64 years","Total","Percentage","73.7",""
"2015Q3","Denmark","Males","From 15 to 64 years","Total","Percentage","77.1",""
"2015Q3","Denmark","Females","From 15 to 64 years","Total","Percentage","70.3",""
"2015Q3","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","74.2",""
"2015Q3","Germany (until 1990 former territory of the FRG)","Males","From 15 to 64 years","Total","Percentage","78.3",""
"2015Q3","Germany (until 1990 former territory of the FRG)","Females","From 15 to 64 years","Total","Percentage","70.0",""
"2015Q3","Estonia","Total","From 15 to 64 years","Total","Percentage","74.0",""
"2015Q3","Estonia","Males","From 15 to 64 years","Total","Percentage","78.3",""
"2015Q3","Estonia","Females","From 15 to 64 years","Total","Percentage","69.9",""
"2015Q3","Ireland","Total","From 15 to 64 years","Total","Percentage","63.8",""
"2015Q3","Ireland","Males","From 15 to 64 years","Total","Percentage","69.5",""
"2015Q3","Ireland","Females","From 15 to 64 years","Total","Percentage","58.2",""
"2015Q3","Greece","Total","From 15 to 64 years","Total","Percentage","51.7",""
"2015Q3","Greece","Males","From 15 to 64 years","Total","Percentage","60.3",""
"2015Q3","Greece","Females","From 15 to 64 years","Total","Percentage","43.2",""
"2015Q3","Spain","Total","From 15 to 64 years","Total","Percentage","58.4",""
"2015Q3","Spain","Males","From 15 to 64 years","Total","Percentage","63.8",""
"2015Q3","Spain","Females","From 15 to 64 years","Total","Percentage","53.0",""
"2015Q3","France","Total","From 15 to 64 years","Total","Percentage","64.3",""
"2015Q3","France","Males","From 15 to 64 years","Total","Percentage","67.6",""
"2015Q3","France","Females","From 15 to 64 years","Total","Percentage","61.1",""
"2015Q3","Croatia","Total","From 15 to 64 years","Total","Percentage","57.5",""
"2015Q3","Croatia","Males","From 15 to 64 years","Total","Percentage","62.1",""
"2015Q3","Croatia","Females","From 15 to 64 years","Total","Percentage","52.8",""
"2015Q3","Italy","Total","From 15 to 64 years","Total","Percentage","56.7",""
"2015Q3","Italy","Males","From 15 to 64 years","Total","Percentage","66.6",""
"2015Q3","Italy","Females","From 15 to 64 years","Total","Percentage","47.0",""
"2015Q3","Cyprus","Total","From 15 to 64 years","Total","Percentage","62.5",""
"2015Q3","Cyprus","Males","From 15 to 64 years","Total","Percentage","67.6",""
"2015Q3","Cyprus","Females","From 15 to 64 years","Total","Percentage","57.8",""
"2015Q3","Latvia","Total","From 15 to 64 years","Total","Percentage","68.6",""
"2015Q3","Latvia","Males","From 15 to 64 years","Total","Percentage","70.1",""
"2015Q3","Latvia","Females","From 15 to 64 years","Total","Percentage","67.3",""
"2015Q3","Lithuania","Total","From 15 to 64 years","Total","Percentage","68.0",""
"2015Q3","Lithuania","Males","From 15 to 64 years","Total","Percentage","68.9",""
"2015Q3","Lithuania","Females","From 15 to 64 years","Total","Percentage","67.2",""
"2015Q3","Luxembourg","Total","From 15 to 64 years","Total","Percentage","65.5",""
"2015Q3","Luxembourg","Males","From 15 to 64 years","Total","Percentage","71.2",""
"2015Q3","Luxembourg","Females","From 15 to 64 years","Total","Percentage","59.5",""
"2015Q3","Hungary","Total","From 15 to 64 years","Total","Percentage","64.8",""
"2015Q3","Hungary","Males","From 15 to 64 years","Total","Percentage","71.3",""
"2015Q3","Hungary","Females","From 15 to 64 years","Total","Percentage","58.4",""
"2015Q3","Malta","Total","From 15 to 64 years","Total","Percentage","65.2",""
"2015Q3","Malta","Males","From 15 to 64 years","Total","Percentage","77.1",""
"2015Q3","Malta","Females","From 15 to 64 years","Total","Percentage","52.8",""
"2015Q3","Netherlands","Total","From 15 to 64 years","Total","Percentage","74.5",""
"2015Q3","Netherlands","Males","From 15 to 64 years","Total","Percentage","79.4",""
"2015Q3","Netherlands","Females","From 15 to 64 years","Total","Percentage","69.5",""
"2015Q3","Austria","Total","From 15 to 64 years","Total","Percentage","72.1",""
"2015Q3","Austria","Males","From 15 to 64 years","Total","Percentage","76.3",""
"2015Q3","Austria","Females","From 15 to 64 years","Total","Percentage","67.9",""
"2015Q3","Poland","Total","From 15 to 64 years","Total","Percentage","63.5",""
"2015Q3","Poland","Males","From 15 to 64 years","Total","Percentage","70.1",""
"2015Q3","Poland","Females","From 15 to 64 years","Total","Percentage","57.0",""
"2015Q3","Portugal","Total","From 15 to 64 years","Total","Percentage","64.4",""
"2015Q3","Portugal","Males","From 15 to 64 years","Total","Percentage","67.4",""
"2015Q3","Portugal","Females","From 15 to 64 years","Total","Percentage","61.5",""
"2015Q3","Romania","Total","From 15 to 64 years","Total","Percentage","63.2",""
"2015Q3","Romania","Males","From 15 to 64 years","Total","Percentage","71.6",""
"2015Q3","Romania","Females","From 15 to 64 years","Total","Percentage","54.6",""
"2015Q3","Slovenia","Total","From 15 to 64 years","Total","Percentage","66.7",""
"2015Q3","Slovenia","Males","From 15 to 64 years","Total","Percentage","71.0",""
"2015Q3","Slovenia","Females","From 15 to 64 years","Total","Percentage","62.0",""
"2015Q3","Slovakia","Total","From 15 to 64 years","Total","Percentage","63.0",""
"2015Q3","Slovakia","Males","From 15 to 64 years","Total","Percentage","69.8",""
"2015Q3","Slovakia","Females","From 15 to 64 years","Total","Percentage","56.1",""
"2015Q3","Finland","Total","From 15 to 64 years","Total","Percentage","69.9",""
"2015Q3","Finland","Males","From 15 to 64 years","Total","Percentage","71.0",""
"2015Q3","Finland","Females","From 15 to 64 years","Total","Percentage","68.8",""
"2015Q3","Sweden","Total","From 15 to 64 years","Total","Percentage","76.9",""
"2015Q3","Sweden","Males","From 15 to 64 years","Total","Percentage","78.2",""
"2015Q3","Sweden","Females","From 15 to 64 years","Total","Percentage","75.5",""
"2015Q3","United Kingdom","Total","From 15 to 64 years","Total","Percentage","72.9",""
"2015Q3","United Kingdom","Males","From 15 to 64 years","Total","Percentage","77.8",""
"2015Q3","United Kingdom","Females","From 15 to 64 years","Total","Percentage","68.0",""
"2015Q3","Iceland","Total","From 15 to 64 years","Total","Percentage","86.1",""
"2015Q3","Iceland","Males","From 15 to 64 years","Total","Percentage","89.7",""
"2015Q3","Iceland","Females","From 15 to 64 years","Total","Percentage","82.4",""
"2015Q3","Norway","Total","From 15 to 64 years","Total","Percentage","75.2",""
"2015Q3","Norway","Males","From 15 to 64 years","Total","Percentage","76.8",""
"2015Q3","Norway","Females","From 15 to 64 years","Total","Percentage","73.5",""
"2015Q3","Switzerland","Total","From 15 to 64 years","Total","Percentage","78.8",""
